date,Ndtct,Npct_75,PctRH_75,Npct_50,PctRH_50,Npct_25,PctRH_25,Nfit,SumRH,MaxRH,Tmin,Tavg,Tmax,Temp_BB,Area_BB,Lat,Lon,SATZ
2013-06-17 22:35:45.839,17,1,20.8254,1,20.8254,2,28.35714,6,31.459141,20.8254,0.0,1985.5,2158.0,1862.0,30.5379,45.16444,37.879177,57.7581
2013-06-18 00:16:12.221,8,1,19.1316,1,19.1316,2,25.10885,3,25.722022,19.1316,0.0,1835.0,1981.0,1873.0,27.3859,45.159824,37.8866,52.7391
2013-06-18 00:16:14.000,7,1,14.6682,1,14.6682,2,21.78501,4,24.16941,14.6682,0.0,1745.5,1894.0,1768.0,26.4459,45.15707,37.878742,52.7426
2013-06-18 22:16:44.790,3,2,50.4119,2,50.4119,2,50.4119,2,50.4119,25.9829,0.0,1770.0,1836.0,1704.0,54.4053,45.165035,37.867558,67.4066
2013-06-18 22:16:46.569,4,1,48.0903,1,48.0903,2,61.4312,3,63.06812,48.0903,0.0,1857.0,2076.0,1812.0,78.599,45.158295,37.879551,67.4047
2013-06-18 23:57:28.962,19,2,1.192725,6,2.679176,7,2.988459,7,2.988459,0.622769,0.0,2098.42857142857,2332.0,1936.0,0.782529,45.157423,37.910204,37.3147
2013-06-18 23:57:30.741,3,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1441013333333,37.8921713333333,37.2747
2013-06-19 23:38:42.161,3,1,27.3514,1,27.3514,1,27.3514,1,27.3514,27.3514,0.0,1811.0,1811.0,1811.0,44.845,45.160168,37.880619,14.2807
2013-06-19 23:38:43.940,1,1,2.33022,1,2.33022,1,2.33022,1,2.33022,2.33022,1647.0,1647.0,1647.0,1647.0,5.58786,45.156639,37.882641,14.277
2013-06-20 23:19:53.590,4,1,30.7008,1,30.7008,1,30.7008,3,31.249831,30.7008,0.0,1939.33333333333,2064.0,1864.0,44.8673,45.162209,37.882381,13.4658
2013-06-23 22:23:04.764,6,1,39.2034,2,60.6974,2,60.6974,6,74.72621,39.2034,1578.0,1889.83333333333,2155.0,1869.0,56.7192,45.1675,37.878441,64.5699
2013-06-24 00:03:43.602,3,1,37.3459,2,59.3072,2,59.3072,3,59.569855,37.3459,1758.0,1971.66666666667,2247.0,1910.0,49.5361,45.161125,37.887169,43.0003
2013-06-24 23:44:56.818,4,1,21.9512,2,33.5536,2,33.5536,4,40.97865,21.9512,1691.0,1796.75,1912.0,1792.0,37.511,45.165142,37.87851,22.615
2013-06-24 23:44:58.597,1,1,33.6068,1,33.6068,1,33.6068,1,33.6068,33.6068,1830.0,1830.0,1830.0,1830.0,52.8129,45.158298,37.880802,22.6157
2013-06-25 23:26:08.254,30,1,1.09914,2,1.854431,9,4.623253,13,5.540023,1.09914,0.0,1971.69230769231,2344.0,1874.0,1.57258,45.159527,37.878929,4.55124
2013-06-26 23:07:16.132,3,1,43.2645,1,43.2645,1,43.2645,3,43.901297,43.2645,1830.0,2036.66666666667,2222.0,1830.0,67.9942,45.162155,37.884029,30.2446
2013-06-26 23:07:17.911,1,1,0.463164,1,0.463164,1,0.463164,1,0.463164,0.463164,2087.0,2087.0,2087.0,2087.0,0.430953,45.155731,37.876076,30.179
2013-06-27 00:47:15.825,3,1,47.1199,2,82.403,2,82.403,2,82.403,47.1199,0.0,1883.0,1957.0,1957.0,56.7002,45.162285,37.891598,68.1694
2013-06-27 22:48:22.233,5,1,49.0801,1,49.0801,1,49.0801,2,59.1956,49.0801,0.0,1955.5,2008.0,1903.0,65.9564,45.161804,37.877502,48.8769
2013-06-28 00:28:37.940,6,1,37.7678,1,37.7678,1,37.7678,4,52.87068,37.7678,0.0,1865.0,2061.0,1855.0,56.2316,45.156776,37.879009,59.9659
2013-06-28 22:29:22.996,5,2,45.4295,2,45.4295,2,45.4295,4,53.03032,23.297,0.0,1828.75,1888.0,1765.0,42.3223,45.156082,37.872871,61.3729
2013-06-29 00:09:56.495,4,1,42.0569,1,42.0569,2,53.3498,2,53.3498,42.0569,0.0,1930.0,1995.0,1865.0,61.292,45.162533,37.877762,48.1489
2013-06-29 22:10:20.198,2,2,6.31037,2,6.31037,2,6.31037,2,6.31037,3.3462,1890.0,1901.5,1913.0,1890.0,4.62824,45.160412,37.864792,70.0606
2013-06-29 22:10:21.977,2,1,3.20898,1,3.20898,1,3.20898,1,3.20898,3.20898,0.0,2032.0,2032.0,2032.0,3.31793,45.161427,37.880417,70.0582
2013-06-29 23:51:11.490,3,2,40.372,2,40.372,2,40.372,3,40.700217,20.2897,1746.0,1957.0,2190.0,1935.0,25.5296,45.159111,37.888439,30.1976
2013-06-30 23:32:22.926,2,1,0.971145,2,1.551463,2,1.551463,2,1.551463,0.971145,2011.0,2017.5,2024.0,2011.0,1.04691,45.164707,37.887981,4.93836
2013-06-30 23:32:24.705,2,1,34.4424,1,34.4424,1,34.4424,2,36.01521,34.4424,1831.0,1949.5,2068.0,1831.0,54.0748,45.16011,37.879429,4.99215
2013-07-02 22:54:38.674,6,1,27.3645,2,41.7178,2,41.7178,3,42.320317,27.3645,0.0,1872.0,2078.0,1889.0,37.8738,45.165054,37.882301,43.5737
2013-07-03 00:34:49.042,3,1,30.6859,2,49.7974,2,49.7974,2,49.7974,30.6859,0.0,1785.0,1847.0,1847.0,46.4983,45.158817,37.885036,62.9785
2013-07-03 22:35:41.205,5,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.171803,37.821644,57.9438
2013-07-04 00:16:07.586,9,2,3.73796,2,3.73796,2,3.73796,2,3.73796,1.88379,0.0,1894.5,1909.0,1880.0,2.6601,45.159519,37.8792515,52.6516
2013-07-04 00:16:09.365,4,1,1.6565,1,1.6565,2,2.392003,2,2.392003,1.6565,0.0,2128.0,2168.0,2088.0,1.53554,45.16449,37.882053,52.5531
2013-07-04 22:16:40.177,5,2,103.1775,2,103.1775,2,103.1775,3,104.63389,54.4849,0.0,1949.0,2065.0,1882.0,76.6516,45.157455,37.869335,67.5026
2013-07-04 22:16:41.956,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.15107,37.881187,67.4708
2013-07-04 23:57:24.350,2,1,29.7983,1,29.7983,1,29.7983,2,30.94131,29.7983,1799.0,1973.0,2147.0,1799.0,50.1491,45.161072,37.880257,36.8909
2013-07-04 23:57:26.129,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.151932,37.879986,36.894
2013-07-05 23:38:37.555,3,1,35.4483,1,35.4483,1,35.4483,3,36.327266,35.4483,1859.0,1997.33333333333,2108.0,1859.0,52.397,45.159786,37.880852,13.9113
2013-07-06 23:19:48.985,2,1,25.658,1,25.658,1,25.658,2,30.30187,25.658,1364.0,1610.0,1856.0,1856.0,38.148,45.163879,37.882809,13.7722
2013-07-07 23:00:55.076,6,1,38.2779,1,38.2779,1,38.2779,4,46.779961,38.2779,0.0,1949.0,2057.0,1829.0,60.3527,45.159245,37.878258,37.4878
2013-07-08 00:40:58.327,1,1,1.48649,1,1.48649,1,1.48649,1,1.48649,1.48649,1929.0,1929.0,1929.0,1929.0,1.89138,45.16996,37.883793,65.597
2013-07-08 00:41:00.106,6,1,55.2319,2,85.7931,2,85.7931,3,87.96416,55.2319,0.0,1863.0,1887.0,1887.0,76.7753,45.15493,37.884605,65.6852
2013-07-08 22:41:57.609,2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.169565,37.8786485,53.7496
2013-07-08 22:41:59.388,6,1,34.318,1,34.318,1,34.318,4,43.84733,34.318,0.0,1921.5,1996.0,1843.0,52.461,45.157352,37.881943,53.7284
2013-07-09 00:22:20.432,7,1,40.991,1,40.991,2,51.2985,4,53.421888,40.991,0.0,1934.5,2237.0,1858.0,60.6092,45.15794,37.882336,56.4278
2013-07-09 22:22:58.361,5,1,35.5721,1,35.5721,1,35.5721,4,53.74062,35.5721,0.0,1874.0,2250.0,1850.0,53.5778,45.166569,37.880733,64.6917
2013-07-09 22:23:00.140,4,2,37.4348,2,37.4348,2,37.4348,4,43.80125,20.7155,1601.0,1799.5,1964.0,1721.0,41.6125,45.166969,37.872833,64.6649
2013-07-10 00:03:37.196,4,2,38.6783,2,38.6783,2,38.6783,4,41.544,20.0004,1703.0,1787.25,1854.0,1703.0,41.9724,45.15971,37.875004,42.7396
2013-07-10 00:03:38.976,1,1,4.31596,1,4.31596,1,4.31596,1,4.31596,4.31596,1733.0,1733.0,1733.0,1733.0,8.43907,45.157009,37.879452,42.7427
